ticket,profit,volume,balance,time,symbol
5454460612,-0.66,0.5,296.78,2025-09-27 22:34:27.080877,Volatility 10 (1s) Index
5454462556,-1.29,1.0,295.07,2025-09-27 22:38:51.961917,Volatility 10 (1s) Index
5455441027,6.38,2.0,321.68,2025-09-29 11:55:32.310685,Volatility 10 (1s) Index
5455445872,2.61,1.0,321.31,2025-09-29 12:02:22.807312,Volatility 10 (1s) Index
