time,open,high,low,close,tick_volume,spread,real_volume
2025-09-26 04:08:00,5903.854,5904.206,5903.217,5903.957,30,162,0
2025-09-26 04:09:00,5903.772,5904.245,5903.719,5903.753,30,162,0
2025-09-26 04:10:00,5904.104,5904.803,5903.877,5904.539,30,162,0
2025-09-26 04:11:00,5904.347,5905.317,5904.347,5904.787,30,162,0
2025-09-26 04:12:00,5904.808,5906.734,5904.696,5906.61,29,162,0
2025-09-26 04:13:00,5906.574,5906.978,5905.78,5906.978,30,162,0
2025-09-26 04:14:00,5906.797,5907.824,5906.643,5906.643,29,162,0
2025-09-26 04:15:00,5906.337,5906.878,5906.223,5906.584,30,162,0
2025-09-26 04:16:00,5906.667,5906.802,5905.75,5905.904,30,162,0
2025-09-26 04:17:00,5905.964,5907.275,5905.694,5906.602,30,162,0
2025-09-26 04:18:00,5906.683,5906.94,5906.27,5906.928,30,162,0
2025-09-26 04:19:00,5906.951,5907.639,5906.779,5907.441,30,162,0
2025-09-26 04:20:00,5907.637,5908.319,5907.337,5907.549,29,162,0
2025-09-26 04:21:00,5907.276,5908.821,5906.954,5908.721,30,162,0
2025-09-26 04:22:00,5908.873,5909.286,5908.62,5909.137,30,162,0
2025-09-26 04:23:00,5909.044,5909.707,5908.893,5909.707,30,162,0
2025-09-26 04:24:00,5909.644,5910.365,5909.644,5910.277,30,162,0
2025-09-26 04:25:00,5910.09,5911.448,5910.084,5911.036,30,162,0
2025-09-26 04:26:00,5911.073,5911.947,5910.938,5911.714,30,162,0
2025-09-26 04:27:00,5911.499,5912.371,5911.417,5911.54,30,162,0
2025-09-26 04:28:00,5911.518,5911.903,5910.763,5911.591,30,162,0
2025-09-26 04:29:00,5911.768,5911.991,5911.345,5911.345,30,162,0
2025-09-26 04:30:00,5911.072,5911.408,5910.551,5910.786,30,162,0
2025-09-26 04:31:00,5910.604,5910.869,5910.01,5910.677,30,162,0
2025-09-26 04:32:00,5910.725,5910.79,5909.688,5910.644,30,162,0
2025-09-26 04:33:00,5910.431,5911.064,5909.731,5910.199,29,162,0
2025-09-26 04:34:00,5910.359,5911.112,5910.317,5910.627,30,162,0
2025-09-26 04:35:00,5910.522,5911.233,5910.522,5910.603,30,162,0
2025-09-26 04:36:00,5910.548,5910.848,5909.973,5910.848,30,162,0
2025-09-26 04:37:00,5910.878,5911.491,5910.534,5910.812,30,162,0
2025-09-26 04:38:00,5910.653,5911.275,5910.532,5910.835,30,162,0
2025-09-26 04:39:00,5910.419,5911.837,5910.207,5911.566,30,162,0
2025-09-26 04:40:00,5911.433,5912.69,5911.36,5911.789,30,162,0
2025-09-26 04:41:00,5911.714,5911.984,5911.07,5911.123,29,162,0
2025-09-26 04:42:00,5911.095,5911.095,5909.64,5909.64,30,162,0
2025-09-26 04:43:00,5909.535,5909.912,5909.308,5909.471,30,162,0
2025-09-26 04:44:00,5909.541,5910.347,5909.541,5909.87,30,162,0
2025-09-26 04:45:00,5909.949,5910.31,5909.795,5910.31,30,162,0
2025-09-26 04:46:00,5910.198,5910.683,5909.799,5910.538,30,162,0
2025-09-26 04:47:00,5910.597,5911.334,5908.902,5908.902,30,162,0
2025-09-26 04:48:00,5908.884,5909.096,5907.466,5907.556,30,162,0
2025-09-26 04:49:00,5907.842,5908.465,5907.265,5907.265,30,162,0
2025-09-26 04:50:00,5907.293,5907.884,5906.694,5907.884,30,162,0
2025-09-26 04:51:00,5907.861,5910.227,5907.861,5910.054,30,162,0
2025-09-26 04:52:00,5909.992,5910.347,5909.744,5910.069,30,162,0
2025-09-26 04:53:00,5910.41,5910.754,5909.979,5910.633,30,162,0
2025-09-26 04:54:00,5910.679,5911.451,5910.533,5910.632,30,162,0
2025-09-26 04:55:00,5910.525,5911.561,5910.525,5911.561,29,162,0
2025-09-26 04:56:00,5911.558,5911.642,5910.487,5910.751,30,162,0
2025-09-26 04:57:00,5910.631,5910.631,5909.742,5909.742,29,162,0
2025-09-26 04:58:00,5909.903,5910.235,5909.347,5909.771,30,162,0
2025-09-26 04:59:00,5909.607,5909.607,5907.698,5908.127,29,162,0
2025-09-26 05:00:00,5908.252,5908.252,5906.977,5907.149,30,162,0
2025-09-26 05:01:00,5907.052,5907.345,5906.357,5907.228,30,162,0
2025-09-26 05:02:00,5907.069,5907.869,5906.785,5907.772,30,162,0
2025-09-26 05:03:00,5907.898,5908.649,5907.163,5908.637,30,162,0
2025-09-26 05:04:00,5908.736,5909.697,5908.708,5909.179,30,162,0
2025-09-26 05:05:00,5909.09,5910.28,5909.09,5909.858,30,162,0
2025-09-26 05:06:00,5909.612,5909.612,5907.598,5908.007,30,162,0
2025-09-26 05:07:00,5908.151,5908.151,5907.212,5907.868,30,162,0
2025-09-26 05:08:00,5907.771,5908.722,5907.771,5908.252,30,162,0
2025-09-26 05:09:00,5908.504,5909.519,5908.111,5909.32,30,162,0
2025-09-26 05:10:00,5909.289,5909.31,5908.94,5909.29,30,162,0
2025-09-26 05:11:00,5909.364,5911.157,5909.364,5910.824,30,162,0
2025-09-26 05:12:00,5910.794,5911.612,5910.619,5911.199,30,162,0
2025-09-26 05:13:00,5911.387,5912.108,5911.239,5911.247,30,162,0
2025-09-26 05:14:00,5911.359,5911.953,5910.406,5910.938,30,162,0
2025-09-26 05:15:00,5910.693,5910.836,5909.847,5909.847,30,162,0
2025-09-26 05:16:00,5909.913,5910.449,5909.706,5909.769,30,162,0
2025-09-26 05:17:00,5909.825,5909.876,5908.373,5908.433,30,162,0
2025-09-26 05:18:00,5908.53,5909.237,5908.307,5909.237,29,162,0
2025-09-26 05:19:00,5909.196,5909.889,5908.877,5909.889,30,162,0
2025-09-26 05:20:00,5909.995,5910.546,5909.24,5910.045,30,162,0
2025-09-26 05:21:00,5910.072,5911.101,5909.483,5909.483,30,162,0
2025-09-26 05:22:00,5909.553,5910.082,5909.404,5909.458,30,162,0
2025-09-26 05:23:00,5909.273,5910.179,5908.97,5908.97,30,162,0
2025-09-26 05:24:00,5908.987,5909.833,5908.816,5909.584,30,162,0
2025-09-26 05:25:00,5909.655,5909.979,5908.976,5909.096,30,162,0
2025-09-26 05:26:00,5909.22,5910.416,5909.15,5909.641,30,162,0
2025-09-26 05:27:00,5909.637,5909.637,5908.693,5909.033,30,162,0
2025-09-26 05:28:00,5908.866,5909.234,5907.588,5907.983,30,162,0
2025-09-26 05:29:00,5908.091,5909.427,5907.997,5909.127,30,162,0
2025-09-26 05:30:00,5909.049,5909.352,5908.309,5908.522,30,162,0
2025-09-26 05:31:00,5908.769,5908.769,5907.901,5908.175,30,162,0
2025-09-26 05:32:00,5908.273,5908.597,5906.438,5906.508,30,162,0
2025-09-26 05:33:00,5906.619,5907.18,5905.906,5906.027,30,162,0
2025-09-26 05:34:00,5905.792,5907.076,5905.792,5907.031,30,162,0
2025-09-26 05:35:00,5907.192,5907.909,5907.016,5907.084,30,162,0
2025-09-26 05:36:00,5907.341,5907.662,5906.967,5907.412,29,162,0
2025-09-26 05:37:00,5907.195,5908.233,5907.084,5907.563,30,162,0
2025-09-26 05:38:00,5907.58,5908.203,5906.922,5908.203,30,162,0
2025-09-26 05:39:00,5908.141,5908.271,5907.51,5907.78,30,162,0
2025-09-26 05:40:00,5907.91,5908.101,5907.508,5907.717,30,162,0
2025-09-26 05:41:00,5907.882,5908.245,5907.501,5907.917,30,162,0
2025-09-26 05:42:00,5907.667,5908.207,5907.32,5907.481,30,162,0
2025-09-26 05:43:00,5907.587,5908.251,5907.488,5907.546,30,162,0
2025-09-26 05:44:00,5907.599,5907.684,5906.894,5906.944,30,162,0
2025-09-26 05:45:00,5907.247,5908.99,5907.224,5908.674,30,162,0
2025-09-26 05:46:00,5908.674,5908.674,5906.977,5907.058,30,162,0
2025-09-26 05:47:00,5906.896,5907.02,5905.521,5905.878,30,162,0
2025-09-26 05:48:00,5906.146,5906.646,5906.103,5906.257,30,162,0
2025-09-26 05:49:00,5906.079,5907.142,5905.823,5907.009,30,162,0
2025-09-26 05:50:00,5906.891,5907.066,5906.537,5906.597,30,162,0
2025-09-26 05:51:00,5906.645,5906.645,5905.263,5905.263,30,162,0
